Experiment,Encoder,Target Layers,Predictor Layers,Target Params,Predictor Params,Total Params,MSE Seen,MSE Unseen,MSE Random,Std Seen,Std Unseen,Std Random,Reward Seen,Reward Unseen,Reward Random,Ratio U/S,Ratio R/S,Ratio U/R,Log Ratio U/S,Log Ratio R/S,Cohen d U/S,Cohen d R/S,Separation %,Final Loss,Loss Reduction %,Final Ratio,Novelty Detection,Duration (min)
granite-small_20251118,granite-small,"[128, 64]","[2048, 64]",192,2112,2304,0.0009947697399184108,0.0021960122976452112,0.0009947697399184108,3.059660593862645e-05,0.00010526252299314365,3.0334957045852207e-05,-0.572953999042511,-0.3503880500793457,-0.5729540586471558,2.20753621080514,0.999989947523458,2.20753621080514,0.7918770568971788,-1.0052527068436104e-05,15.495420951413875,0.0,120.7546263281682,0.0011063606570436,96.30815238861689,2.2963573641503188,strong,0
granite-small_20251118,granite-small,"[128, 64]","[512, 64]",192,576,768,0.001285173580981791,0.001571189844980836,0.0012851736973971128,5.1897619414376095e-05,7.055395690258592e-05,5.035596404923126e-05,-0.7036983966827393,-0.6648225784301758,-0.7036983966827393,1.2225411748417732,0.9999923095931007,1.222541064100776,0.20093162265186906,-7.690436470627425e-06,4.617461513280817,2.2762885893772843e-06,22.25489558313127,0.001420596698881127,96.6283833051378,1.2227583384142848,moderate,0
granite-small_20251118,granite-small,"[128, 8]","[128, 8]",136,136,272,0.0032851200085133314,0.004235750529915094,0.0032851200085133314,0.0002268916869070381,0.0003330614708829671,0.00023829775454942137,-0.43973177671432495,-0.313050240278244,-0.43973177671432495,1.2893707460399602,0.9999969559804409,1.2893707460399602,0.25415430559602503,-3.044024192121117e-06,3.335841607904808,0.0,28.937379005951914,0.0034718156239250675,90.74752076665523,1.3582586305047646,moderate,0
granite-small_20251118,granite-small,"[128, 8]","[256, 8]",136,264,400,0.002003019442781806,0.003392406739294529,0.0020030192099511623,0.00014442413521464914,0.0002736692549660802,0.00014385230315383524,-0.4676174819469452,-0.264761358499527,-0.4676174819469452,1.6936379799705574,0.9999948913229006,1.6936381768377917,0.5268788661719515,-5.108690148687772e-06,6.349533862262697,-1.6152137496931004e-06,69.3642972408405,0.002175960654373436,93.62351679501583,1.6434348075511456,strong,0
granite-small_20251118,granite-small,"[256, 64]","[1024, 64]",320,1088,1408,0.0026742154732346535,0.0038250903598964214,0.0026742154732346535,7.811964314896613e-05,0.00015403454017359763,8.587050251662731e-05,-0.5353366732597351,-0.3476254343986511,-0.5353366732597351,1.4303544701747681,0.9999962605995268,1.4303544701747681,0.35792229479543375,-3.7394074647326184e-06,9.422928327776743,0.0,43.03582095752414,0.0028564402862684803,92.09077282979594,1.4607508819465276,moderate,0
granite-small_20251118,granite-small,"[256, 64]","[256, 64]",320,320,640,0.005727443378418684,0.006227669306099415,0.005727443378418684,0.00019779408467002213,0.0002213276457041502,0.0001905396638903767,-0.4735557436943054,-0.40987932682037354,-0.4735557436943054,1.0873365341681467,0.999998254023326,1.0873365341681467,0.08373115927390876,-1.7459781982359275e-06,2.3831522142846637,0.0,8.73382801448207,0.005908522477451091,87.73822213135396,1.101932946874749,weak,0
granite-small_20251118,granite-small,"[256, 64]","[512, 256, 64]",320,832,1152,0.0038031681906431913,0.004728707950562239,0.0038031681906431913,0.0001187910747830756,0.00017725392535794526,0.0001307437923969701,-0.5745842456817627,-0.3834715187549591,-0.5745843052864075,1.2433569276864522,0.9999973706201765,1.2433569276864522,0.2178149214990759,-2.629383280362913e-06,6.1338219530424105,0.0,24.335955706627583,0.003986433201741117,86.61804280652761,1.2785173892879154,moderate,0
granite-small_20251118,granite-small,"[512, 256, 64]","[1024, 512, 64]",832,1600,2432,0.0004133937763981521,0.0008735440787859261,0.0004133937763981521,1.4432552234211471e-05,4.116629497730173e-05,1.2769000022672117e-05,-0.6423672437667847,-0.061497971415519714,-0.6423672437667847,2.1130529730444687,0.9999758105741386,2.1130529730444687,0.7481338083833097,-2.4189718430233783e-05,14.91278765882177,0.0,111.30771624703301,0.0004445463686958343,89.62339679446929,2.129409419999233,strong,0
granite-small_20251118,granite-small,"[512, 256, 64]","[512, 256, 64]",832,832,1664,0.0007999875815585256,0.0010624139104038477,0.0007999875815585256,2.6564914151094854e-05,3.9417329389834777e-05,2.5176952476613224e-05,-0.5800653100013733,-0.29368361830711365,-0.5800652503967285,1.3280214026823585,0.9999874999622117,1.3280214026823585,0.28369016740205266,-1.2500115914422297e-05,7.805391233946672,0.0,32.80339027201468,0.0008360389416338876,83.85579454229202,1.3270448899648066,moderate,0
granite-small_20251118,granite-small,"[512, 64]","[512, 64]",576,576,1152,0.0047457716427743435,0.00560469925403595,0.0047457716427743435,0.0001497815828770399,0.0001997725194087252,0.00017428288992960006,-0.4908960461616516,-0.36033329367637634,-0.49089598655700684,1.1809854889909115,0.9999978928655483,1.1809854889909115,0.16634925008716597,-2.1071366717118823e-06,4.864644275695769,0.0,18.098759612536334,0.004936347678691769,87.88105526696387,1.1931057941708163,moderate,0
granite_20251118,granite,"[128, 64]","[2048, 64]",192,2112,2304,0.0007796694408170879,0.002303649904206395,0.000779669382609427,2.4444476366625167e-05,0.00012563832569867373,2.5774103050935082e-05,-0.5085787177085876,-0.21309220790863037,-0.5085787177085876,2.954611579589963,0.9999870995602367,2.95461180016913,1.0833671970711705,-1.2900522974707914e-05,16.83666395926147,-2.316438006312981e-06,195.46244053738383,0.0008488353438830624,97.00637472508055,3.0030644590124265,strong,0
granite_20251118,granite,"[128, 64]","[512, 64]",192,576,768,0.0007008680840954185,0.0009777917293831706,0.0007008680258877575,2.603311077109538e-05,4.236483800923452e-05,2.635604323586449e-05,-0.6762738227844238,-0.6363630890846252,-0.676273763179779,1.3950953119687683,0.9999856491337236,1.3950954278309182,0.33296273693129996,-1.4350969251102408e-05,7.873778257556018,-2.221236218506748e-06,39.51095797854215,0.0007888407218464029,97.92125671498411,1.4051158189327717,moderate,0
granite_20251118,granite,"[128, 8]","[128, 8]",136,136,272,0.0026661825831979513,0.004142032470554113,0.0026661823503673077,0.00021171178377699107,0.00032654317328706384,0.00019442045595496893,-0.40106794238090515,-0.22153811156749725,-0.4010680019855499,1.5535383665293876,0.9999961620061851,1.55353850219527,0.44053514637856694,-3.838001179987372e-06,5.362946104982811,-1.1454813919454618e-06,55.3542117196186,0.0028860362275736407,92.85642937669924,1.6476662646923546,strong,0
