experiment_name,encoder,arch_tag,arch_label,target_layers,predictor_layers,mse_ratio,mse_diff_frac,reward_diff_frac,reward_diff,std_seen,mse_seen,mse_unseen,mse_random,std_unseen,std_random,reward_seen,reward_unseen,reward_random,mse_random_vs_seen_ratio,mse_unseen_vs_random_ratio,reward_random_vs_seen_ratio,reward_unseen_vs_random_ratio
granite-small_extreme_ultra,granite-small,extreme_ultra,extreme_ultra (128_64 / 2048_64),"(128, 64)","(2048, 64)",2.20755718832796,1.20755718832796,0.3884534342140063,0.22256594896316528,3.059660593862645e-05,0.0009947697399184108,0.0021960122976452112,0.0009947697399184108,0.00010526252299314365,3.0334957045852207e-05,-0.572953999042511,-0.3503880500793457,-0.5729540586471558,1.0,2.20755718832796,1.0000001040304196,0.6115465008105874
granite-small_predlarge_mod,granite-small,predlarge_mod,predlarge_mod (128_64 / 512_64),"(128, 64)","(512, 64)",1.2225505143282143,0.22255051432821432,0.05524500038735423,0.03887581825256348,5.1897619414376095e-05,0.001285173580981791,0.001571189844980836,0.0012851736973971128,7.055395690258592e-05,5.035596404923126e-05,-0.7036983966827393,-0.6648225784301758,-0.7036983966827393,1.0000000905832744,1.2225504035855956,1.0,0.9447549994556325
granite-small_eq_small,granite-small,eq_small,eq_small (128_8 / 128_8),"(128, 8)","(128, 8)",1.2893745828352203,0.28937458283522016,0.28808820025370224,0.12668153643608093,0.0002268916869070381,0.0032851200085133314,0.004235750529915094,0.0032851200085133314,0.0003330614708829671,0.00023829775454942137,-0.43973177671432495,-0.313050240278244,-0.43973177671432495,1.0,1.2893745828352203,1.0,0.7119117984360072
granite-small_narrow,granite-small,narrow,narrow (128_8 / 256_8),"(128, 8)","(256, 8)",1.6936460890948941,0.6936460890948942,0.4338078255094534,0.2028561234474182,0.00014442413521464914,0.002003019442781806,0.003392406739294529,0.0020030192099511623,0.0002736692549660802,0.00014385230315383524,-0.4676174819469452,-0.264761358499527,-0.4676174819469452,0.999999883760226,1.6936462859639558,1.0,0.5661921726351504
granite-small_predlarge_big,granite-small,predlarge_big,predlarge_big (256_64 / 1024_64),"(256, 64)","(1024, 64)",1.430359657933639,0.430359657933639,0.35064147084757746,0.18771123886108398,7.811964314896613e-05,0.0026742154732346535,0.0038250903598964214,0.0026742154732346535,0.00015403454017359763,8.587050251662731e-05,-0.5353366732597351,-0.3476254343986511,-0.5353366732597351,1.0,1.430359657933639,1.0,0.6493585278424375
granite-small_eq_medium,granite-small,eq_medium,eq_medium (256_64 / 256_64),"(256, 64)","(256, 64)",1.0873384173865763,0.08733841738657624,0.13446445869859933,0.06367641687393188,0.00019779408467002213,0.005727443378418684,0.006227669306099415,0.005727443378418684,0.0002213276457041502,0.0001905396638903767,-0.4735557436943054,-0.40987932682037354,-0.4735557436943054,1.0,1.0873384173865763,1.0,0.8655355407335078
granite-small_deep_pred,granite-small,deep_pred,deep_pred (256_64 / 512_256_64),"(256, 64)","(512, 256, 64)",1.243360132963877,0.24336013296387696,0.33261045361143127,0.1911127269268036,0.0001187910747830756,0.0038031681906431913,0.004728707950562239,0.0038031681906431913,0.00017725392535794526,0.0001307437923969701,-0.5745842456817627,-0.3834715187549591,-0.5745843052864075,1.0,1.243360132963877,1.000000103735258,0.6673894759990063
granite-small_deep_both,granite-small,deep_both,deep_both (512_256_64 / 1024_512_64),"(512, 256, 64)","(1024, 512, 64)",2.1131013952256383,1.1131013952256386,0.904263530065505,0.580869272351265,1.4432552234211471e-05,0.0004133937763981521,0.0008735440787859261,0.0004133937763981521,4.116629497730173e-05,1.2769000022672117e-05,-0.6423672437667847,-0.061497971415519714,-0.6423672437667847,1.0,2.1131013952256383,1.0,0.09573646711908522
granite-small_eq_deep,granite-small,eq_deep,eq_deep (512_256_64 / 512_256_64),"(512, 256, 64)","(512, 256, 64)",1.328037593154226,0.3280375931542262,0.4937059435598307,0.28638169169425964,2.6564914151094854e-05,0.0007999875815585256,0.0010624139104038477,0.0007999875815585256,3.9417329389834777e-05,2.5176952476613224e-05,-0.5800653100013733,-0.29368361830711365,-0.5800652503967285,1.0,1.328037593154226,0.9999998972449414,0.5062941067622072
granite-small_eq_wide,granite-small,eq_wide,eq_wide (512_64 / 512_64),"(512, 64)","(512, 64)",1.1809879393546934,0.18098793935469346,0.26596822940454656,0.13056275248527527,0.0001497815828770399,0.0047457716427743435,0.00560469925403595,0.0047457716427743435,0.0001997725194087252,0.00017428288992960006,-0.4908960461616516,-0.36033329367637634,-0.49089598655700684,1.0,1.1809879393546934,0.9999998785799044,0.7340318586380689
